CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_MANU,IND_SALE,IND_SERV,
dummy,,,,,,,,,,,,,,,,,,,,,
03211,46521,-2926,441.29,105.4,17706,-,21526,6111,28113,12297,113,48762,23285,1778,8011,13492,550,4958,4464,5919,
03212,33687,-430,362.5,92.9,9751,-,0,4746,19695,9224,108,31655,17409,5228,5849,6325,5228,3998,2040,3110,
03213,27678,-340,240.61,115,9728,-,6280,4318,17023,6336,87,29060,15772,2161,5447,8163,2158,2853,2907,3323,
03301,19750,377,609.01,32.4,5612,-,0,2840,12513,4397,53,18352,10046,2443,2907,4694,2439,1685,1053,3037,
03302,8725,-811,434.99,20.1,2851,-,0,1156,4983,2586,8,7990,3823,1303,866,1653,1303,384,529,779,
03303,17372,-892,360.55,48.2,5371,-,0,2569,10564,4239,64,16218,8794,2783,2906,3103,2780,1601,1039,1449,
03304,19031,71,167.16,113.8,5725,-,0,2915,11933,4183,49,17815,9707,2541,3315,3846,2536,1972,1580,1666,
03305,51241,7052,182.32,281,17938,-,13596,8825,36739,5655,103,43929,18575,1502,5489,11526,1497,2554,3400,5092,
03306,7064,139,234.85,30.1,2151,-,0,899,4292,1873,14,6671,3697,923,955,1818,906,471,222,1321,
03307,14014,-231,397.32,35.3,4004,-,0,2025,8709,3280,20,13065,7339,1862,2933,2541,1855,2005,615,1348,
03321,33038,1727,239.03,138.2,9406,-,0,5357,21104,6577,39,28383,14133,3323,4198,6597,3322,2691,2373,2832,
03322,25268,3349,67.28,375.6,7615,-,0,4447,16923,3898,111,25422,14031,1744,2801,9480,1744,1667,4699,2772,
03341,6949,-515,246.84,28.2,1928,-,0,885,3993,2071,12,6295,3430,1116,1083,1228,1115,703,337,620,
03342,16521,-54,118.57,139.3,4354,-,0,2331,10056,4134,17,14217,7179,2330,1826,3021,2330,1056,946,1588,
03361,10710,-413,157.51,68,2977,-,0,1349,6177,3184,59,8996,4703,1929,1080,1693,1929,622,521,795,
03363,4009,-462,304.56,13.2,1345,-,0,464,2129,1416,15,4286,2280,385,560,1335,382,257,351,690,
03365,3974,-149,286.22,13.9,1098,-,0,536,2158,1280,1,3588,2026,816,525,684,816,266,102,467,
03381,16383,460,179.77,91.1,4934,-,0,2455,10302,3619,72,18513,11558,2115,5686,3752,2114,4879,1090,1941,
03382,15438,-96,72.34,213.4,4184,-,0,2139,9212,4081,47,15009,8308,1827,3003,3477,1827,2076,1466,1546,
03383,17651,-382,298.02,59.2,4433,-,0,2633,10683,4335,25,14948,7990,3183,2625,2182,3183,1552,582,1197,
03384,5290,-228,163.57,32.3,1315,-,0,829,3101,1360,8,4318,2221,786,649,786,785,486,125,517,
03401,16127,-465,126.83,127.2,4381,-,0,2223,9457,4447,33,13807,6745,1951,2350,2442,1951,1641,842,1206,
03402,9054,-234,63.39,142.8,2409,-,0,1243,5477,2331,11,7985,4234,814,1325,2094,814,686,770,994,
03421,17789,-884,278.71,63.8,5082,-,0,2440,9823,5526,73,16174,8055,2759,2584,2703,2757,1458,797,1362,
03422,10452,-384,123.15,84.9,2771,-,0,1461,5842,3149,43,9564,4967,1505,1975,1485,1505,1377,433,771,
03423,13504,-551,89.84,150.3,4141,-,0,1983,7940,3581,36,14874,8568,1509,3319,3737,1508,2595,1206,1580,
03424,8493,-289,87.72,96.8,2277,-,0,1254,4972,2267,18,7654,3932,671,1720,1538,671,1218,463,610,
03425,6316,-236,97.28,64.9,1694,-,0,872,3547,1897,40,5309,2891,1031,1067,791,1031,749,229,343,
03426,4634,-373,42.49,109.1,1240,-,0,644,2632,1358,20,4265,2288,490,1093,705,489,485,207,318,
03441,7305,-478,334.83,21.8,2168,-,0,880,4015,2410,12,7064,3534,943,1344,1247,942,861,348,615,
03442,8590,-423,137.13,62.6,2750,-,0,1153,5227,2210,17,7611,3429,1288,788,1353,323,375,381,749,
03461,17480,-821,200.57,87.2,5854,-,5805,2594,10657,4228,45,15425,6187,587,2436,3164,286,1678,1218,1345,
03462,5427,-299,165.24,32.8,1566,-,0,697,3052,1678,9,4813,2336,789,724,823,788,389,264,363,
03481,4800,-256,101.05,47.5,1516,-,0,693,2914,1193,2,4604,2011,542,568,900,250,389,195,515,
03482,21214,-805,263.42,80.5,6835,-,5372,3205,12986,5023,12,19260,8561,1862,2687,4010,452,1700,1383,1685,
03483,12845,-1034,992.9,12.9,4693,-,0,1761,7335,3749,22,12752,5990,1478,1478,3034,1335,616,871,1382,
03484,4529,-277,156.19,29,1385,-,0,701,2613,1215,4,4323,1943,503,648,792,300,313,169,442,
03485,3583,-213,69.66,51.4,1084,-,0,526,2220,837,2,3229,1524,433,425,666,123,263,169,315,
03486,3785,-250,256.29,14.8,1208,-,0,486,2138,1161,3,3297,1385,298,553,534,296,373,128,256,
03487,3763,-344,563.07,6.7,1315,-,0,436,1992,1335,7,3591,1574,463,388,723,463,261,195,334,
03501,11863,-427,245.74,48.3,3533,-,0,1778,6983,3098,17,11407,5877,1989,1812,2075,1989,1017,580,1094,
03502,14177,-734,168.54,84.1,4351,-,0,2252,8712,3213,6,11851,4387,1038,1213,2136,810,571,662,1111,
03503,5195,-9,80.83,64.3,1593,-,0,953,3053,1189,18,4717,1818,426,586,806,274,197,258,399,
03504,3382,-319,295.49,11.4,1074,-,0,455,1948,979,7,3324,1660,671,423,566,671,110,137,292,
03505,6288,-123,134.65,46.7,1871,-,0,1067,3809,1412,14,5702,2502,797,803,902,796,168,298,422,
03506,7324,-403,134.05,54.6,2107,-,0,971,4341,2012,13,6841,3619,1395,1086,1138,1395,739,262,584,
03521,5424,-313,179.7,30.2,1550,-,0,691,3184,1549,14,5086,2878,1378,579,921,1377,188,287,390,
03523,6390,-476,460.24,13.9,2029,-,0,818,3487,2085,21,6188,3411,1048,800,1563,1048,420,283,977,
03524,16933,-973,300.11,56.4,5610,-,0,2142,10164,4627,31,16689,8598,2177,2748,3673,2175,1437,1021,1931,
04101,277743,7228,302.28,918.8,130676,-,239142,34737,202104,40744,2609,412199,234014,865,32095,196724,859,8663,69706,82835,
04102,178780,1953,58.09,3077.6,74839,-,163200,27445,129063,22263,1162,198885,109715,1036,22376,84828,1015,10072,30899,29132,
