CODE,ELECTOR,S_VOTE,S_VALID_VOTE,H_VOTE,H_VALID_VOTE,H_JIMIN,H_KOMEI,H_RIKKEN,H_ISHIN,H_KOKUMIN,H_KYOSAN,H_REIWA,H_SHAMIN,H_NHK,H_SANSEI,H_OTHER
dummy,,,,,,,,,,,,,,,,
22131,193522 ,107185 ,104915 ,107169 ,103405 ,39634.543 ,9960.036 ,11018.271 ,13161.667 ,7905.597 ,6055.055 ,5059.915 ,2102.402 ,3103.788 ,4339.689 ,1064.022 
22132,106067 ,56990 ,55761 ,56978 ,54765 ,21171.440 ,5305.443 ,6096.227 ,7085.302 ,4032.656 ,3209.580 ,2578.326 ,1044.579 ,1607.174 ,2082.642 ,551.616 
22133,88840 ,52281 ,51147 ,52273 ,50411 ,20486.116 ,5205.052 ,5264.453 ,6147.547 ,3574.480 ,2546.118 ,2435.522 ,939.692 ,1390.930 ,1945.047 ,476.029 
22134,82691 ,45464 ,44480 ,45458 ,43720 ,16440.536 ,4880.909 ,4818.817 ,5240.119 ,3314.881 ,2443.778 ,2131.308 ,1019.000 ,1348.022 ,1622.618 ,460.000 
22135,76621 ,43055 ,42185 ,43044 ,41446 ,17777.996 ,3908.333 ,4245.918 ,4675.562 ,2627.313 ,2486.883 ,1900.675 ,823.012 ,1054.489 ,1541.000 ,404.805 
22136,79858 ,43718 ,42810 ,43713 ,42135 ,16933.064 ,3779.000 ,4659.735 ,5081.850 ,3033.264 ,2748.230 ,1983.629 ,772.000 ,1170.870 ,1577.013 ,396.333 
22137,23751 ,14290 ,14017 ,14288 ,13488 ,6122.225 ,1327.000 ,1573.750 ,1240.723 ,732.172 ,1005.005 ,502.235 ,241.500 ,268.017 ,356.324 ,119.040 
22203,162761 ,79042 ,77304 ,79038 ,76247 ,29393.079 ,10322.725 ,8704.006 ,8141.678 ,5000.970 ,4077.290 ,3492.181 ,1678.525 ,2192.764 ,2558.493 ,685.273 
22205,31665 ,15457 ,14976 ,15457 ,14952 ,6222.969 ,2118.000 ,1400.260 ,1706.499 ,574.739 ,1030.266 ,615.029 ,297.500 ,347.656 ,528.000 ,111.076 
22206,91025 ,49917 ,48662 ,49914 ,47964 ,17966.906 ,5743.330 ,5084.734 ,5517.332 ,3657.182 ,3078.508 ,2104.072 ,1309.749 ,1333.146 ,1750.000 ,419.029 
22207,108833 ,52305 ,51055 ,52303 ,50053 ,17685.667 ,7751.564 ,4715.036 ,6078.632 ,3667.891 ,2882.082 ,2395.167 ,1077.793 ,1363.361 ,1938.043 ,497.749 
22208,59269 ,28973 ,28134 ,28977 ,27929 ,10017.906 ,4086.733 ,2837.033 ,3442.095 ,1016.952 ,2470.183 ,1379.990 ,574.000 ,743.101 ,1131.000 ,230.000 
22209,80953 ,46425 ,45456 ,46423 ,44315 ,18321.125 ,4749.489 ,4431.734 ,4963.849 ,3154.168 ,2580.161 ,2102.647 ,901.400 ,1108.417 ,1516.000 ,486.000 
22210,208003 ,99744 ,97243 ,99735 ,95483 ,37507.309 ,11967.081 ,8930.141 ,10449.363 ,8697.574 ,4393.756 ,4339.473 ,2087.846 ,2762.287 ,3476.619 ,871.527 
22211,134793 ,74961 ,73454 ,74953 ,72149 ,28289.761 ,6103.517 ,9280.679 ,8512.876 ,5123.080 ,4323.594 ,3231.158 ,1591.417 ,1932.045 ,2887.524 ,873.329 
22212,113462 ,60115 ,58800 ,60114 ,57654 ,23483.525 ,7478.856 ,5163.962 ,6783.700 ,3305.836 ,3462.576 ,2683.327 ,1202.806 ,1585.644 ,1897.793 ,605.960 
22213,93778 ,54418 ,53255 ,54418 ,52195 ,21831.803 ,4610.663 ,5452.327 ,5851.936 ,4254.642 ,3262.790 ,2239.565 ,1003.833 ,1323.915 ,1819.388 ,544.123 
22214,119718 ,64056 ,62596 ,64040 ,61493 ,24965.122 ,6306.422 ,6475.905 ,7131.641 ,3837.094 ,4111.555 ,2822.382 ,1427.727 ,1568.053 ,2293.000 ,554.086 
22215,70739 ,38190 ,37528 ,38184 ,36419 ,17934.653 ,3687.012 ,2908.888 ,3400.169 ,2126.131 ,1473.009 ,1454.125 ,654.004 ,1077.684 ,1264.000 ,439.315 
22216,69095 ,37837 ,37152 ,37840 ,36538 ,14554.426 ,3318.529 ,3845.203 ,4376.510 ,2859.782 ,1838.666 ,1661.165 ,760.727 ,985.209 ,1893.625 ,444.147 
22219,17991 ,9408 ,9189 ,9400 ,8917 ,3772.859 ,1398.000 ,971.180 ,790.066 ,384.819 ,462.000 ,371.072 ,208.000 ,228.000 ,270.000 ,61.000 
22220,41733 ,23390 ,22990 ,23389 ,22550 ,9599.812 ,2418.500 ,2223.803 ,2414.083 ,1797.168 ,1161.005 ,884.097 ,458.000 ,655.500 ,702.000 ,236.027 
22221,47331 ,28657 ,27982 ,28655 ,27737 ,10671.337 ,2897.028 ,4109.643 ,2712.907 ,2457.318 ,1019.018 ,1345.041 ,484.181 ,800.950 ,955.518 ,284.050 
22222,25746 ,14471 ,14135 ,14470 ,13823 ,6396.670 ,1642.375 ,1383.673 ,1334.031 ,688.241 ,733.021 ,537.274 ,303.084 ,298.625 ,384.000 ,122.000 
22223,25669 ,14606 ,14264 ,14606 ,13998 ,6504.918 ,1590.302 ,991.305 ,1325.000 ,1200.676 ,623.133 ,600.080 ,189.000 ,329.580 ,514.000 ,130.000 
